Tempo,Posizione,Corrente,Forza,Velocita,Accelerazione,CodiceAllarme,StatoPLC
2016-04-20 12:35:12.938,268975,-5,-1,0,0,0,0
2016-04-20 12:35:13.938,268975,0,-1,0,0,0,0
2016-04-20 12:35:14.938,268975,-5,-3,0,0,0,0
2016-04-20 12:35:15.938,268975,0,4,0,0,0,0
2016-04-20 12:35:16.938,268975,0,4,0,0,0,0
2016-04-20 12:35:17.938,268975,0,0,0,0,0,0
2016-04-20 12:35:18.938,268975,-9,1,0,0,0,0
2016-04-20 12:35:19.938,268975,0,0,0,0,0,0
2016-04-20 12:35:20.938,268975,-5,3,0,0,0,0
2016-04-20 12:35:21.938,268975,0,-1,0,0,0,0
2016-04-20 12:35:22.938,268975,0,-1,0,0,0,0
2016-04-20 12:35:23.938,268975,0,-1,0,0,0,0
2016-04-20 12:35:24.938,268975,0,2,0,0,0,0
2016-04-20 12:35:25.938,268975,-5,0,0,0,0,0
2016-04-20 12:35:26.938,268975,12,0,0,0,0,0
2016-04-20 12:35:27.938,268975,-9,-1,0,0,0,0
2016-04-20 12:35:28.938,268975,-9,-1,0,0,0,0
2016-04-20 12:35:29.938,268975,3,-1,0,0,0,0
2016-04-20 12:35:30.938,268975,-18,-1,0,0,0,0
2016-04-20 12:35:31.938,268975,7,-3,0,0,0,0
2016-04-20 12:35:32.938,268975,0,0,0,0,0,0
2016-04-20 12:35:33.938,268975,0,0,0,0,0,0
2016-04-20 12:35:34.938,268975,-5,-1,0,0,0,0
2016-04-20 12:35:35.938,268975,0,0,0,0,0,0
2016-04-20 12:35:36.938,268975,0,0,0,0,0,0
2016-04-20 12:35:37.938,268975,-5,0,0,0,0,0
2016-04-20 12:35:38.938,268975,-5,0,0,0,0,0
2016-04-20 12:35:39.938,268975,20,0,0,0,0,0
2016-04-20 12:35:40.938,268975,7,2,0,0,0,0
2016-04-20 12:35:41.938,268975,-9,0,0,0,0,0
2016-04-20 12:35:42.938,268975,-5,0,0,0,0,0
2016-04-20 12:35:43.938,268975,-5,0,0,0,0,0
2016-04-20 12:35:44.938,268975,3,-1,0,0,0,0
2016-04-20 12:35:45.938,268975,0,-1,0,0,0,0
2016-04-20 12:35:46.938,268975,0,2,0,0,0,0
2016-04-20 12:35:47.938,268975,12,0,0,0,0,0
2016-04-20 12:35:48.938,268975,12,0,0,0,0,0
2016-04-20 12:35:49.938,268975,12,0,0,0,0,0
2016-04-20 12:35:50.938,268975,3,-1,0,0,0,0
2016-04-20 12:35:51.938,268975,-9,5,0,0,0,0
2016-04-20 12:35:52.938,268975,-9,5,0,0,0,0
2016-04-20 12:35:53.938,268975,-9,5,0,0,0,0
2016-04-20 12:35:54.938,268975,7,0,0,0,0,0
2016-04-20 12:35:55.938,268975,0,-1,0,0,0,0
2016-04-20 12:35:56.938,268975,0,-1,0,0,0,0
2016-04-20 12:35:57.938,268975,0,0,0,0,0,0
2016-04-20 12:35:58.938,268975,0,0,0,0,0,0
2016-04-20 12:35:59.938,268975,-9,-3,0,0,0,0
2016-04-20 12:36:00.938,268975,7,0,0,0,0,0
2016-04-20 12:36:01.938,268975,7,4,0,0,0,0
2016-04-20 12:36:02.938,268975,20,-1,0,0,0,0
2016-04-20 12:36:03.938,268975,20,-1,0,0,0,0
2016-04-20 12:36:04.938,268975,0,0,0,0,0,0
2016-04-20 12:36:05.938,268975,0,0,0,0,0,0
2016-04-20 12:36:06.938,268975,7,2,0,0,0,0
2016-04-20 12:36:07.938,268975,20,0,0,0,0,0
2016-04-20 12:36:08.938,268975,-9,2,0,0,0,0
2016-04-20 12:36:09.938,268975,-9,2,0,0,0,0
2016-04-20 12:36:10.938,268975,12,0,0,0,0,0
2016-04-20 12:36:11.938,268975,12,-1,0,0,0,0
2016-04-20 12:36:12.938,268975,0,0,0,0,0,0
2016-04-20 12:36:13.938,268975,0,0,0,0,0,0
2016-04-20 12:36:14.938,268975,-9,-1,0,0,0,0
2016-04-20 12:36:15.938,268975,0,0,0,0,0,0
2016-04-20 12:36:16.938,268975,0,-1,0,0,0,0
2016-04-20 12:36:17.938,268975,7,-3,0,0,0,0
2016-04-20 12:36:18.938,268975,7,-3,0,0,0,0
2016-04-20 12:36:19.938,268975,7,-3,0,0,0,0
2016-04-20 12:36:20.938,268975,0,1,0,0,0,0
2016-04-20 12:36:21.938,268975,7,0,0,0,0,0
2016-04-20 12:36:22.938,268975,0,0,0,0,0,0
2016-04-20 12:36:23.938,268975,0,0,0,0,0,0
2016-04-20 12:36:24.938,268975,0,0,0,0,0,0
2016-04-20 12:36:25.938,268975,-14,3,0,0,0,0
2016-04-20 12:36:26.938,268975,7,0,0,0,0,0
2016-04-20 12:36:27.938,268975,7,0,0,0,0,0
2016-04-20 12:36:28.938,268975,7,0,0,0,0,0
2016-04-20 12:36:29.938,268975,7,3,0,0,0,0
2016-04-20 12:36:30.938,268975,0,-1,0,0,0,0
2016-04-20 12:36:31.938,268975,-9,0,0,0,0,0
2016-04-20 12:36:32.938,268975,7,-1,0,0,0,0
2016-04-20 12:36:33.938,268975,7,-1,0,0,0,0
2016-04-20 12:36:34.938,268975,7,-1,0,0,0,0
2016-04-20 12:36:35.938,268975,3,-1,0,0,0,0
2016-04-20 12:36:36.938,268975,0,-3,0,0,0,0
2016-04-20 12:36:37.938,268975,16,0,0,0,0,0
2016-04-20 12:36:38.938,268975,12,-1,0,0,0,0
2016-04-20 12:36:39.938,268975,7,1,0,0,0,0
2016-04-20 12:36:40.938,268975,7,1,0,0,0,0
2016-04-20 12:36:41.938,268975,-5,4,0,0,0,0
2016-04-20 12:36:42.938,268975,-5,4,0,0,0,0
2016-04-20 12:36:43.938,268975,12,2,0,0,0,0
2016-04-20 12:36:44.938,268975,0,0,0,0,0,0
2016-04-20 12:36:45.938,268975,12,-5,0,0,0,0
2016-04-20 12:36:46.938,268975,12,-5,0,0,0,0
2016-04-20 12:36:47.938,268975,3,0,0,0,0,0
2016-04-20 12:36:48.938,268975,-5,0,0,0,0,0
2016-04-20 12:36:49.938,268975,-14,0,0,0,0,0
2016-04-20 12:36:50.938,268975,-14,0,0,0,0,0
2016-04-20 12:36:51.938,268975,0,5,0,0,0,0
2016-04-20 12:36:52.938,268975,16,-3,0,0,0,0
2016-04-20 12:36:53.938,268975,3,2,0,0,0,0
2016-04-20 12:36:54.938,268975,3,0,0,0,0,0
2016-04-20 12:36:55.938,268975,3,0,0,0,0,0
2016-04-20 12:36:56.938,268975,3,0,0,0,0,0
2016-04-20 12:36:57.938,268975,-5,-1,0,0,0,0
2016-04-20 12:36:58.938,268975,0,0,0,0,0,0
2016-04-20 12:36:59.938,268975,7,2,0,0,0,0
2016-04-20 12:37:00.938,268975,7,0,0,0,0,0
2016-04-20 12:37:01.938,268975,7,0,0,0,0,0
2016-04-20 12:37:02.938,268975,3,1,0,0,0,0
2016-04-20 12:37:03.938,268975,-5,-1,0,0,0,0
2016-04-20 12:37:04.938,268975,3,-1,0,0,0,0
2016-04-20 12:37:05.938,268975,-9,0,0,0,0,0
2016-04-20 12:37:06.938,268975,-9,0,0,0,0,0
2016-04-20 12:37:07.938,268975,12,0,0,0,0,0
2016-04-20 12:37:08.938,268975,7,0,0,0,0,0
2016-04-20 12:37:09.938,268975,12,-1,0,0,0,0
2016-04-20 12:37:10.938,268975,12,-1,0,0,0,0
2016-04-20 12:37:11.938,268975,12,-1,0,0,0,0
2016-04-20 12:37:12.938,268975,-5,0,0,0,0,0
2016-04-20 12:37:13.938,268975,0,1,0,0,0,0
2016-04-20 12:37:14.938,268975,-9,-1,0,0,0,0
2016-04-20 12:37:15.938,268975,12,0,0,0,0,0
2016-04-20 12:37:16.938,268975,12,0,0,0,0,0
2016-04-20 12:37:17.938,268975,7,2,0,0,0,0
2016-04-20 12:37:18.938,268975,-5,0,0,0,0,0
2016-04-20 12:37:19.938,268975,12,-1,0,0,0,0
2016-04-20 12:37:20.938,268975,3,2,0,0,0,0
2016-04-20 12:37:21.938,268975,3,2,0,0,0,0
2016-04-20 12:37:22.938,268975,0,-3,0,0,0,0
2016-04-20 12:37:23.938,268975,7,1,0,0,0,0
2016-04-20 12:37:24.938,268975,7,1,0,0,0,0
2016-04-20 12:37:25.938,268975,-5,2,0,0,0,0
2016-04-20 12:37:26.938,268975,-5,2,0,0,0,0
2016-04-20 12:37:27.938,268975,-5,1,0,0,0,0
2016-04-20 12:37:28.938,268975,-5,-1,0,0,0,0
2016-04-20 12:37:29.938,268975,-9,-1,0,0,0,0
2016-04-20 12:37:30.938,268975,-14,0,0,0,0,0
2016-04-20 12:37:31.938,268975,-14,0,0,0,0,0
2016-04-20 12:37:32.938,268975,-5,0,0,0,0,0
2016-04-20 12:37:33.938,268975,0,-1,0,0,0,0
2016-04-20 12:37:34.938,268975,-5,2,0,0,0,0
