Tempo,Posizione,Corrente,Forza,Velocita,Accelerazione,CodiceAllarme,StatoPLC
2016-04-20 17:01:52.938,126817,152,93,79286,-1015,0,6
2016-04-20 17:01:53.938,126817,152,93,79286,-1015,0,6
2016-04-20 17:01:54.938,133603,379,35,66149,0,0,6
2016-04-20 17:01:55.938,139606,105,112,76473,0,0,6
2016-04-20 17:01:56.938,142738,153,209,82389,0,0,6
2016-04-20 17:01:57.938,142738,153,209,82389,0,0,6
2016-04-20 17:01:58.938,148567,776,185,94424,1015,0,6
2016-04-20 17:01:59.938,152424,519,-3,69252,0,0,6
2016-04-20 17:02:00.938,158804,-212,-26,91524,0,0,6
2016-04-20 17:02:01.938,164981,538,-22,93641,0,0,6
2016-04-20 17:02:02.938,164981,538,-22,93641,0,0,6
2016-04-20 17:02:03.938,168751,526,26,82360,1015,0,6
2016-04-20 17:02:04.938,174725,880,73,82911,0,0,6
2016-04-20 17:02:05.938,180728,326,104,99644,1015,0,6
2016-04-20 17:02:06.938,184498,-10,231,80214,-1015,0,6
2016-04-20 17:02:07.938,184498,-10,231,80214,-1015,0,6
2016-04-20 17:02:08.938,184498,-10,231,80214,-1015,0,6
2016-04-20 17:02:09.938,194271,1083,144,73196,0,0,6
2016-04-20 17:02:10.938,194271,1083,144,73196,0,0,6
2016-04-20 17:02:11.938,200738,263,199,78416,1015,0,6
2016-04-20 17:02:12.938,206828,558,3,64090,0,0,6
2016-04-20 17:02:13.938,206828,558,3,64090,0,0,6
2016-04-20 17:02:14.938,209873,339,25,74472,0,0,6
2016-04-20 17:02:15.938,215702,438,-25,97788,0,0,6
2016-04-20 17:02:16.938,219385,123,15,69281,-1015,0,6
2016-04-20 17:02:17.938,219385,123,15,69281,-1015,0,6
2016-04-20 17:02:18.938,225533,-47,178,87203,0,0,6
2016-04-20 17:02:19.938,231304,577,81,78503,0,0,6
2016-04-20 17:02:20.938,231304,577,81,78503,0,0,6
2016-04-20 17:02:21.938,241454,-43,149,72094,0,0,6
2016-04-20 17:02:22.938,241454,-43,149,72094,0,0,6
2016-04-20 17:02:23.938,241454,-43,149,72094,0,0,6
2016-04-20 17:02:24.938,247631,89,108,83839,1015,0,6
2016-04-20 17:02:25.938,251227,111,-2,66584,1015,0,6
2016-04-20 17:02:26.938,257230,659,19,62408,1015,0,6
2016-04-20 17:02:27.938,257230,659,19,62408,1015,0,6
2016-04-20 17:02:28.938,263146,-447,145,94888,0,0,6
2016-04-20 17:02:29.938,266684,-108,141,71311,0,0,6
2016-04-20 17:02:30.938,272832,-320,-7,89726,0,0,6
2016-04-20 17:02:31.938,276341,343,162,91901,0,0,6
2016-04-20 17:02:32.938,276341,343,162,91901,0,0,6
2016-04-20 17:02:33.938,282286,176,-38,71891,0,0,6
2016-04-20 17:02:34.938,286114,52,32,75400,0,0,6
2016-04-20 17:02:35.938,292349,-2,89,61364,-1015,0,6
2016-04-20 17:02:36.938,298265,142,18,89204,0,0,6
2016-04-20 17:02:37.938,298265,142,18,89204,0,0,6
2016-04-20 17:02:38.938,302122,200,-3,93380,0,0,6
2016-04-20 17:02:39.938,302122,200,-3,93380,0,0,6
2016-04-20 17:02:40.938,307951,257,238,78532,1015,0,6
2016-04-20 17:02:41.938,314186,101,58,85260,0,0,6
2016-04-20 17:02:42.938,314186,101,58,85260,0,0,6
2016-04-20 17:02:43.938,317811,366,81,73109,0,0,6
2016-04-20 17:02:44.938,323727,181,135,81780,1015,0,6
2016-04-20 17:02:45.938,329788,-202,73,86652,0,0,6
2016-04-20 17:02:46.938,333094,157,229,59508,-1015,0,6
2016-04-20 17:02:47.938,333094,157,229,59508,-1015,0,6
2016-04-20 17:02:48.938,339387,73,-3,67947,0,0,6
2016-04-20 17:02:49.938,345332,1010,168,53911,1015,0,6
2016-04-20 17:02:50.938,345332,1010,168,53911,1015,0,6
2016-04-20 17:02:51.938,348609,353,65,85028,0,0,6
2016-04-20 17:02:52.938,355250,736,149,95584,0,0,6
2016-04-20 17:02:53.938,355250,736,149,95584,0,0,6
2016-04-20 17:02:54.938,358672,711,116,89813,0,0,6
2016-04-20 17:02:55.938,364617,498,209,90248,0,0,6
2016-04-20 17:02:56.938,370997,163,123,83752,0,0,6
2016-04-20 17:02:57.938,370997,163,123,83752,0,0,6
2016-04-20 17:02:58.938,374129,1067,45,83056,-1015,0,6
2016-04-20 17:02:59.938,380277,713,161,90335,0,0,6
2016-04-20 17:03:00.938,383728,506,77,72239,0,0,6
